code,name,color,perm_codes,description
admin,Quản trị viên,#FF0000,"employee:create;employee:read;employee:update;employee:delete;project:create;project:read;project:update;project:delete;leave_request:read:admin;leave_request:read:employee;leave_request:approve:admin;leave_request:reject:admin;leave_request:create:employee;task_report:create;task_report:update;task:create;task:read;task:update;task:delete;org:create;org:read;org:update;org:delete;department:create;department:read;department:update;department:delete;position:create;position:read;position:update;position:delete;label:create;label:read;label:update;label:delete","Quản trị toàn bộ hệ thống với tất cả quyền"
manager,Quản lý,#FF8C00,"employee:read;employee:update;project:create;project:read;project:update;project:delete;leave_request:read:admin;leave_request:approve:admin;leave_request:reject:admin;task_report:create;task_report:update;task:create;task:read;task:update;task:delete;department:read;position:read;label:read;label:create;label:update","Quản lý các hoạt động chính của hệ thống"
employee,Nhân viên,#00FF00,"leave_request:read:employee;leave_request:create:employee;task_report:create;task_report:update;task:read;task:update;project:read;department:read;position:read;label:read","Nhân viên thông thường với quyền cơ bản"
hr,Nhân sự,#9932CC,"employee:create;employee:read;employee:update;employee:delete;leave_request:read:admin;leave_request:read:employee;leave_request:approve:admin;leave_request:reject:admin;leave_request:create:employee;department:read;department:create;department:update;department:delete;position:read;position:create;position:update;position:delete","Quản lý nhân sự và đơn nghỉ phép"
project_manager,Quản lý dự án,#1E90FF,"project:create;project:read;project:update;project:delete;task:create;task:read;task:update;task:delete;task_report:create;task_report:update;employee:read;label:create;label:read;label:update;label:delete","Quản lý dự án và công việc"
